               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1005,           0.0016591,                   0,            0.017905,            0.069594,           0.0079899,           0.0023308,            0.060489,           0.0020786,                   0,           0.0033317,           0.0033317,            0.070014
                   1,            0.060861,           0.0020967,                   0,             0.20512,             0.15594,              0.0938,            0.045434,            0.055391,           0.0019801,                   0,           0.0064451,           0.0064451,            0.039794
                   2,            0.054778,           0.0019773,                   0,             0.39955,             0.22734,             0.22591,             0.11773,            0.048854,            0.001756,                   0,           0.0093385,           0.0093385,           0.0093545
                   3,            0.050603,            0.001672,                   0,             0.56785,              0.4791,             0.52377,             0.28624,            0.043228,           0.0014243,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.045783,           0.0014109,                   0,             0.70675,             0.60146,             0.68937,             0.39858,            0.038455,           0.0012301,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.042365,            0.001231,                   0,             0.79533,             0.66902,             0.77624,             0.46003,            0.036341,           0.0010875,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.040488,           0.0011009,                   0,             0.83088,             0.70323,             0.80857,             0.48865,            0.035247,          0.00099115,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.039294,           0.0010042,                   0,             0.85276,             0.72366,             0.82889,             0.50659,             0.03461,          0.00092956,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.038415,          0.00092086,                   0,             0.84282,             0.75771,             0.84256,             0.51783,            0.034172,          0.00088503,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.037762,          0.00085766,                   0,             0.86698,             0.75419,             0.85026,             0.52519,            0.033862,           0.0008505,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.037147,          0.00079699,                   0,             0.86985,             0.76296,             0.85683,             0.53148,            0.033613,          0.00081994,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.036318,          0.00076091,                   0,             0.86579,             0.77744,               0.862,              0.5364,            0.033374,          0.00079127,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.035867,          0.00071991,                   0,             0.86198,              0.7909,             0.86662,              0.5415,            0.033159,          0.00076248,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.035828,          0.00069456,                   0,             0.88345,             0.78564,             0.87267,             0.54612,             0.03294,          0.00073333,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.034996,          0.00066819,                   0,              0.8769,             0.80499,             0.87781,             0.55071,            0.032728,          0.00070634,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.034617,          0.00064465,                   0,             0.88865,             0.80773,             0.88327,             0.55503,            0.032515,          0.00067983,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.034447,          0.00063179,                   0,             0.89659,             0.81384,             0.88874,             0.55909,            0.032335,          0.00065324,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.034421,          0.00061075,                   0,             0.89558,             0.82699,             0.89394,              0.5623,             0.03214,          0.00062929,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.034088,          0.00059651,                   0,             0.90247,             0.83239,             0.89834,             0.56667,            0.031949,          0.00060679,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.033269,          0.00057915,                   0,             0.91367,             0.83482,             0.90298,             0.57029,            0.031768,          0.00058491,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.032292,          0.00056895,                   0,             0.91236,             0.84633,             0.90706,             0.57311,            0.031574,          0.00056428,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.032723,          0.00055217,                   0,             0.91799,             0.85004,             0.91104,             0.57731,            0.031379,          0.00054506,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.032335,          0.00054206,                   0,             0.92912,             0.84758,             0.91483,             0.58024,            0.031206,          0.00052713,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.032178,          0.00052794,                   0,             0.92158,             0.86167,             0.91818,             0.58325,            0.031029,          0.00051026,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.031768,          0.00051751,                   0,             0.92594,             0.86621,             0.92162,             0.58611,            0.030862,          0.00049463,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.031619,           0.0005044,                   0,              0.9292,             0.87036,             0.92417,             0.58817,            0.030704,          0.00047993,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.031088,          0.00049447,                   0,             0.93801,             0.86856,             0.92735,             0.59172,            0.030531,          0.00046564,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.030732,          0.00048357,                   0,             0.94165,             0.87169,             0.92941,             0.59426,            0.030367,          0.00045293,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.030266,          0.00047212,                   0,             0.94139,             0.87761,             0.93234,             0.59673,            0.030205,          0.00044015,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.029768,          0.00045959,                   0,             0.93806,             0.88711,             0.93457,             0.59831,            0.030058,          0.00042814,                   0,             0.00076,             0.00076,             0.00076
