               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035593,          0.00031131,                   0,             0.78604,             0.48325,             0.56937,             0.35306,            0.044915,           0.0010876,                   0,          0.00033317,          0.00033317,            0.067016
                   1,              0.0332,          0.00031984,                   0,             0.79053,             0.50955,             0.60194,             0.37469,            0.043153,           0.0010026,                   0,          0.00061152,          0.00061152,            0.033961
                   2,            0.032082,          0.00033718,                   0,             0.70881,             0.47323,             0.53934,             0.33425,            0.045069,           0.0010742,                   0,          0.00083487,          0.00083487,          0.00085085
                   3,            0.032826,          0.00035417,                   0,             0.77212,              0.5512,              0.6341,             0.38961,            0.041687,          0.00092946,                   0,           0.0007525,           0.0007525,           0.0007525
                   4,            0.032559,          0.00035301,                   0,             0.74813,             0.53672,             0.61563,             0.38017,            0.041957,          0.00096211,                   0,           0.0007525,           0.0007525,           0.0007525
                   5,            0.032039,          0.00034455,                   0,             0.79891,             0.54141,             0.63275,              0.3935,            0.041137,          0.00094883,                   0,             0.00067,             0.00067,             0.00067
                   6,            0.031393,          0.00033646,                   0,             0.79245,             0.54055,             0.63163,             0.39109,            0.041163,          0.00095963,                   0,           0.0005875,           0.0005875,           0.0005875
                   7,            0.030701,          0.00032758,                   0,              0.8133,             0.53554,              0.6329,             0.39302,            0.041151,          0.00096154,                   0,            0.000505,            0.000505,            0.000505
                   8,            0.030101,          0.00032074,                   0,             0.78513,             0.54949,             0.63442,             0.39379,            0.041044,          0.00096189,                   0,           0.0004225,           0.0004225,           0.0004225
                   9,            0.029465,          0.00031174,                   0,             0.82711,             0.53131,             0.63592,             0.39509,            0.041034,          0.00096089,                   0,             0.00034,             0.00034,             0.00034
                  10,            0.028791,          0.00030307,                   0,             0.77885,             0.55284,             0.63443,             0.39409,            0.041155,          0.00096466,                   0,           0.0002575,           0.0002575,           0.0002575
                  11,            0.028139,          0.00029694,                   0,             0.80287,             0.54063,             0.63251,              0.3927,             0.04131,           0.0009695,                   0,            0.000175,            0.000175,            0.000175
