               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036071,          0.00031157,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00033318,          0.00033318,            0.067015
                   1,            0.033669,          0.00032046,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00061153,          0.00061153,             0.03396
                   2,            0.032373,          0.00033866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00083487,          0.00083487,           0.0008502
                   3,            0.033136,          0.00035601,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                   4,              0.0328,          0.00035419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                   5,            0.032187,          0.00034538,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00067,             0.00067,             0.00067
                   6,            0.031631,          0.00033737,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005875,           0.0005875,           0.0005875
                   7,            0.030935,          0.00032911,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000505,            0.000505,            0.000505
                   8,            0.030247,          0.00031995,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004225,           0.0004225,           0.0004225
                   9,            0.029636,          0.00031307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00034,             0.00034,             0.00034
                  10,            0.028968,          0.00030675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0002575,           0.0002575,           0.0002575
                  11,            0.028242,          0.00029871,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000175,            0.000175,            0.000175
