               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035513,          0.00031224,                   0,              0.7708,              0.5031,             0.59558,             0.36621,            0.043968,          0.00099888,                   0,          0.00033317,          0.00033317,            0.067016
                   1,            0.033232,          0.00032057,                   0,             0.74958,             0.50755,             0.59161,             0.35782,            0.043724,          0.00099042,                   0,          0.00061152,          0.00061152,            0.033961
                   2,            0.031959,          0.00033759,                   0,             0.76178,             0.45397,             0.53432,             0.32289,            0.046699,           0.0010755,                   0,          0.00083487,          0.00083487,          0.00085085
                   3,            0.032803,          0.00035782,                   0,             0.75391,              0.4986,              0.5823,             0.35681,            0.043258,           0.0010197,                   0,           0.0007525,           0.0007525,           0.0007525
                   4,            0.032536,          0.00035322,                   0,             0.75541,             0.53892,             0.61751,             0.38136,            0.041914,          0.00096785,                   0,           0.0007525,           0.0007525,           0.0007525
                   5,            0.031826,          0.00034305,                   0,             0.78266,             0.52161,             0.60999,             0.37716,            0.042511,          0.00097792,                   0,             0.00067,             0.00067,             0.00067
                   6,            0.031289,          0.00033735,                   0,             0.78493,              0.5263,              0.6126,             0.38075,            0.042309,          0.00098174,                   0,           0.0005875,           0.0005875,           0.0005875
                   7,            0.030694,          0.00032914,                   0,              0.7814,             0.52776,              0.6152,             0.38136,            0.042278,          0.00097478,                   0,            0.000505,            0.000505,            0.000505
                   8,            0.030067,          0.00031965,                   0,             0.78236,             0.52638,             0.61428,              0.3814,            0.042391,           0.0009803,                   0,           0.0004225,           0.0004225,           0.0004225
                   9,            0.029422,          0.00031198,                   0,             0.77107,             0.52815,             0.61057,             0.37872,            0.042603,          0.00098816,                   0,             0.00034,             0.00034,             0.00034
