               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036677,          0.00033492,                   0,             0.79171,             0.63441,             0.72317,             0.44952,             0.03783,          0.00076053,                   0,          0.00033317,          0.00033317,            0.067016
                   1,            0.033801,          0.00032999,                   0,             0.75619,             0.59292,             0.66532,             0.40875,            0.040362,          0.00089005,                   0,          0.00060052,          0.00060052,             0.03395
                   2,            0.032488,          0.00034309,                   0,             0.72663,              0.5656,             0.63207,             0.38854,            0.042005,          0.00091837,                   0,          0.00080187,          0.00080187,          0.00081785
                   3,             0.03304,          0.00035938,                   0,             0.72768,             0.55621,              0.6245,             0.38506,            0.041541,          0.00094778,                   0,            0.000703,            0.000703,            0.000703
                   4,            0.032726,          0.00035354,                   0,             0.77751,             0.54478,             0.62908,             0.38481,             0.04179,          0.00097066,                   0,            0.000703,            0.000703,            0.000703
                   5,            0.031895,          0.00034308,                   0,             0.81383,             0.64132,             0.73468,             0.45625,            0.037203,          0.00078418,                   0,            0.000604,            0.000604,            0.000604
                   6,            0.031141,          0.00033254,                   0,             0.82648,             0.67338,             0.76197,             0.47847,            0.036194,          0.00074245,                   0,            0.000505,            0.000505,            0.000505
                   7,            0.030425,          0.00032214,                   0,             0.83148,             0.66013,             0.75129,             0.47166,            0.036476,          0.00076985,                   0,            0.000406,            0.000406,            0.000406
                   8,            0.029629,          0.00031213,                   0,             0.80723,             0.67042,              0.7463,             0.46793,             0.03663,          0.00078083,                   0,            0.000307,            0.000307,            0.000307
                   9,            0.028876,           0.0003042,                   0,             0.83489,             0.65351,             0.74836,             0.46915,             0.03654,          0.00077785,                   0,            0.000208,            0.000208,            0.000208
