               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047653,          0.00054254,                   0,              0.5578,             0.31126,             0.33508,             0.18805,            0.066223,           0.0010836,                   0,          0.00033317,          0.00033317,            0.067016
                   1,            0.042066,          0.00047074,                   0,             0.68839,             0.40301,             0.46426,             0.27768,            0.051754,           0.0010765,                   0,          0.00064451,          0.00064451,            0.033994
                   2,            0.039382,          0.00044912,                   0,             0.73412,             0.46041,             0.55602,             0.33871,             0.04498,          0.00096075,                   0,          0.00093385,          0.00093385,          0.00094983
                   3,            0.038367,          0.00043559,                   0,             0.71986,             0.49445,             0.58227,             0.35651,            0.043255,          0.00093366,                   0,            0.000901,            0.000901,            0.000901
                   4,            0.037142,          0.00041782,                   0,              0.7463,             0.53289,             0.61453,             0.37689,            0.042344,          0.00094033,                   0,            0.000901,            0.000901,            0.000901
                   5,            0.036096,          0.00039904,                   0,             0.76247,             0.53124,             0.62268,             0.38297,            0.041661,          0.00090519,                   0,            0.000868,            0.000868,            0.000868
                   6,            0.035363,          0.00039159,                   0,             0.76541,             0.54071,             0.63596,             0.39378,            0.040595,          0.00090191,                   0,            0.000835,            0.000835,            0.000835
                   7,            0.034685,          0.00038155,                   0,             0.76687,             0.54016,             0.63588,             0.39473,            0.040479,           0.0009032,                   0,            0.000802,            0.000802,            0.000802
                   8,            0.034145,          0.00037428,                   0,             0.79021,             0.53703,             0.64287,             0.39879,            0.040311,           0.0008947,                   0,            0.000769,            0.000769,            0.000769
                   9,            0.033572,           0.0003664,                   0,             0.76653,             0.54721,             0.64144,             0.39821,            0.040371,          0.00090166,                   0,            0.000736,            0.000736,            0.000736
                  10,            0.033131,          0.00036207,                   0,             0.77732,             0.54218,             0.64225,               0.399,            0.040384,          0.00089822,                   0,            0.000703,            0.000703,            0.000703
                  11,            0.032699,          0.00035675,                   0,             0.78015,             0.53985,             0.64064,             0.39849,            0.040509,          0.00090313,                   0,             0.00067,             0.00067,             0.00067
                  12,            0.032266,          0.00035245,                   0,             0.74755,             0.56059,             0.64169,             0.39954,            0.040478,          0.00090617,                   0,            0.000637,            0.000637,            0.000637
                  13,            0.031914,          0.00034865,                   0,              0.7549,             0.55472,             0.63882,             0.39739,             0.04064,          0.00091466,                   0,            0.000604,            0.000604,            0.000604
                  14,            0.031434,          0.00034208,                   0,             0.78226,             0.53922,             0.63568,             0.39539,            0.040763,          0.00092706,                   0,            0.000571,            0.000571,            0.000571
                  15,            0.031111,          0.00033775,                   0,             0.76207,             0.54684,             0.63208,             0.39265,             0.04092,          0.00093479,                   0,            0.000538,            0.000538,            0.000538
                  16,            0.030811,          0.00033409,                   0,             0.78086,             0.53351,             0.62614,             0.38905,             0.04132,          0.00094815,                   0,            0.000505,            0.000505,            0.000505
                  17,            0.030466,          0.00032959,                   0,             0.79048,              0.5266,             0.62161,             0.38682,            0.041659,          0.00095909,                   0,            0.000472,            0.000472,            0.000472
                  18,            0.029971,          0.00032385,                   0,             0.78228,             0.52627,             0.61535,             0.38282,            0.042011,          0.00097491,                   0,            0.000439,            0.000439,            0.000439
                  19,            0.029706,          0.00032187,                   0,             0.78011,             0.52185,             0.60775,              0.3776,            0.042544,          0.00099152,                   0,            0.000406,            0.000406,            0.000406
