               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035513,          0.00031224,                   0,              0.7708,              0.5031,             0.59558,             0.36621,            0.043968,          0.00099888,                   0,          0.00033317,          0.00033317,            0.067016
                   1,            0.033229,          0.00032039,                   0,             0.74156,             0.49956,             0.57852,             0.35292,            0.044475,           0.0010211,                   0,          0.00060052,          0.00060052,             0.03395
                   2,             0.03183,           0.0003343,                   0,             0.74206,             0.49163,             0.55927,             0.33766,            0.045398,           0.0010464,                   0,          0.00080187,          0.00080187,          0.00081785
                   3,            0.032468,          0.00034914,                   0,             0.75158,             0.53985,             0.62001,             0.38296,            0.041638,          0.00096539,                   0,            0.000703,            0.000703,            0.000703
                   4,             0.03233,          0.00034919,                   0,             0.78191,             0.51801,             0.61217,             0.37725,             0.04209,          0.00097405,                   0,            0.000703,            0.000703,            0.000703
                   5,              0.0316,          0.00034038,                   0,             0.79068,             0.53642,             0.62879,              0.3885,            0.041686,          0.00094231,                   0,            0.000604,            0.000604,            0.000604
                   6,              0.0309,          0.00032884,                   0,             0.80657,             0.53014,             0.62691,             0.38681,            0.041858,          0.00096676,                   0,            0.000505,            0.000505,            0.000505
                   7,            0.030126,          0.00032025,                   0,             0.76942,             0.54908,             0.62659,             0.38591,            0.041931,          0.00096785,                   0,            0.000406,            0.000406,            0.000406
                   8,            0.029468,          0.00031188,                   0,             0.78139,             0.54345,             0.62588,             0.38572,            0.041943,          0.00097165,                   0,            0.000307,            0.000307,            0.000307
                   9,            0.028702,           0.0003028,                   0,             0.77234,             0.54494,              0.6229,             0.38351,            0.042134,          0.00097915,                   0,            0.000208,            0.000208,            0.000208
