               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035773,          0.00027242,                   0,             0.93451,             0.85063,             0.91029,             0.54202,             0.03507,           0.0004327,                   0,          0.00033317,          0.00033317,            0.067016
                   1,            0.032461,          0.00025702,                   0,             0.92782,             0.88148,             0.92728,             0.58283,              0.0318,          0.00043533,                   0,          0.00064451,          0.00064451,            0.033994
                   2,            0.029832,          0.00025576,                   0,             0.94022,             0.89021,             0.93327,             0.59081,            0.030361,          0.00040754,                   0,          0.00093385,          0.00093385,          0.00094983
                   3,            0.029381,          0.00025776,                   0,             0.94583,             0.87889,             0.93625,              0.6041,            0.029747,          0.00040761,                   0,            0.000901,            0.000901,            0.000901
                   4,            0.028838,          0.00025735,                   0,             0.94821,             0.88891,             0.94021,             0.60921,            0.029116,          0.00040326,                   0,            0.000901,            0.000901,            0.000901
                   5,            0.028422,          0.00025629,                   0,             0.94187,             0.89353,             0.94227,             0.61184,            0.028796,          0.00039809,                   0,            0.000868,            0.000868,            0.000868
                   6,            0.027977,          0.00025391,                   0,             0.93831,             0.90379,             0.94371,             0.61595,            0.028528,          0.00039284,                   0,            0.000835,            0.000835,            0.000835
                   7,            0.027601,          0.00025245,                   0,             0.94031,             0.90254,             0.94608,             0.61636,            0.028353,           0.0003902,                   0,            0.000802,            0.000802,            0.000802
                   8,            0.027313,          0.00025196,                   0,             0.93804,             0.90426,             0.94653,             0.61822,            0.028248,          0.00038846,                   0,            0.000769,            0.000769,            0.000769
                   9,             0.02699,           0.0002504,                   0,             0.93604,             0.90825,              0.9471,             0.61925,            0.028148,          0.00038645,                   0,            0.000736,            0.000736,            0.000736
                  10,            0.026682,          0.00024774,                   0,             0.93786,             0.90849,             0.94822,             0.62019,            0.028023,          0.00038463,                   0,            0.000703,            0.000703,            0.000703
                  11,            0.026404,          0.00024685,                   0,             0.94348,             0.90395,              0.9489,             0.62212,            0.027906,          0.00038353,                   0,             0.00067,             0.00067,             0.00067
                  12,            0.026168,          0.00024554,                   0,             0.93685,             0.91154,             0.94965,             0.62337,            0.027814,          0.00038235,                   0,            0.000637,            0.000637,            0.000637
                  13,            0.025878,          0.00024446,                   0,             0.94091,                0.91,             0.95034,             0.62438,            0.027736,          0.00038158,                   0,            0.000604,            0.000604,            0.000604
                  14,            0.025624,          0.00024271,                   0,             0.94087,             0.91107,             0.95101,             0.62535,            0.027644,           0.0003804,                   0,            0.000571,            0.000571,            0.000571
                  16,            0.025253,          0.00024035,                   0,             0.94596,             0.90855,             0.95174,             0.62661,            0.027482,          0.00037868,                   0,            0.000538,            0.000538,            0.000538
                  17,            0.024872,          0.00023762,                   0,             0.94645,             0.90894,             0.95228,             0.62721,            0.027396,          0.00037713,                   0,            0.000472,            0.000472,            0.000472
                  18,            0.024607,          0.00023622,                   0,              0.9422,             0.91514,             0.95262,             0.62741,            0.027313,          0.00037587,                   0,            0.000439,            0.000439,            0.000439
                  19,            0.024305,          0.00023382,                   0,             0.93876,             0.91999,             0.95381,             0.62737,             0.02726,          0.00037479,                   0,            0.000406,            0.000406,            0.000406
                  20,            0.024045,          0.00023221,                   0,             0.93945,             0.91944,              0.9534,             0.62872,            0.027203,          0.00037424,                   0,            0.000373,            0.000373,            0.000373
                  21,            0.023807,          0.00023104,                   0,             0.94401,              0.9153,             0.95371,             0.62837,            0.027174,          0.00037339,                   0,             0.00034,             0.00034,             0.00034
                  22,            0.023496,          0.00022985,                   0,             0.94087,             0.91843,             0.95396,             0.62872,            0.027133,          0.00037222,                   0,            0.000307,            0.000307,            0.000307
                  23,            0.023237,          0.00022809,                   0,             0.94137,             0.91772,             0.95335,             0.62819,            0.027121,           0.0003715,                   0,            0.000274,            0.000274,            0.000274
                  24,            0.022954,          0.00022628,                   0,             0.94227,             0.91663,              0.9539,             0.62852,            0.027096,           0.0003705,                   0,            0.000241,            0.000241,            0.000241
                  25,            0.022637,          0.00022489,                   0,             0.94722,             0.91224,             0.95386,             0.62805,            0.027105,          0.00036985,                   0,            0.000208,            0.000208,            0.000208
                  26,            0.022352,          0.00022308,                   0,             0.94662,             0.91211,             0.95358,             0.62824,             0.02708,          0.00036876,                   0,            0.000175,            0.000175,            0.000175
                  27,            0.022048,          0.00022218,                   0,             0.94452,             0.91301,             0.95297,             0.62811,            0.027085,          0.00036819,                   0,            0.000142,            0.000142,            0.000142
                  28,            0.021738,          0.00022036,                   0,             0.94488,             0.91334,             0.95282,             0.62748,            0.027072,          0.00036739,                   0,            0.000109,            0.000109,            0.000109
                  29,            0.021428,          0.00021906,                   0,              0.9419,             0.91718,             0.95303,              0.6274,            0.027065,          0.00036683,                   0,             7.6e-05,             7.6e-05,             7.6e-05
